Title,imdb_id
The Curious Case of Benjamin Button,tt0421715
Awakenings,tt0099077
Drive,tt0780504
Glory,tt0097441
The Killer,tt0097202
The Double Life of Véronique,tt0101765
Bonnie and Clyde,tt0061418
The Remains of the Day,tt0107943
Great Expectations,tt0038574
Dunkirk,tt5013056
Shadow of a Doubt,tt0036342
The Irishman,tt1302006
"Crouching Tiger, Hidden Dragon",tt0190332
The Lady Vanishes,tt0030341
Willy Wonka & the Chocolate Factory,tt0067992
October Sky,tt0132477
Titanic,tt0120338
Midnight Cowboy,tt0064665
Avatar,tt0499549
The Fugitive,tt0106977
Frankenstein,tt0021884
The Right Stuff,tt0086197
The Man Who Would Be King,tt0073341
The African Queen,tt0043265
E.T. the Extra-Terrestrial,tt0083866
My Fair Lady,tt0058385
The Bride of Frankenstein,tt0026138
The 400 Blows,tt0053198
La Haine,tt0113247
La Grande Illusion,tt0028950
Dil Chahta Hai,tt0292490
Safety Last!,tt0014429
The Thing,tt0084787
Andaz Apna Apna,tt0109117
Mary and Max,tt0978762
Time of the Gypsies,tt0097223
Munna Bhai M.B.B.S.,tt0374887
The Invisible Guest,tt4857264
Nights of Cabiria,tt0050783
Kahaani,tt1821480
Throne of Blood,tt0050613
Neon Genesis Evangelion: The End of Evangelion,tt0169858
Sunrise,tt0018455
Stalker,tt0079944
The Cabinet of Dr. Caligari,tt0010323
Sanjuro,tt0056443
Le Samouraï,tt0062229
A Christmas Carol,tt0044008
The General,tt0017925
Raise the Red Lantern,tt0101640
Hachi: A Dog's Tale,tt1028532
A Close Shave,tt0112691
PK,tt2338151
Andrei Rublev,tt0060107
The Passion of Joan of Arc,tt0019254
A Wednesday,tt1280558
Rang De Basanti,tt0405508
Diabolique,tt0046911
The Red Shoes,tt0040725
White Heat,tt0042041
V for Vendetta,tt0434409
The Sixth Sense,tt0167404
Jurassic Park,tt0107290
Departures,tt1069238
Ace in the Hole,tt0043338
Gran Torino,tt1205489
In the Name of the Father,tt0107207
Lagaan: Once Upon a Time in India,tt0169102
The Handmaiden,tt4016934
Blade Runner,tt0083658
"Three Billboards Outside Ebbing, Missouri",tt5027774
The Grand Budapest Hotel,tt2278388
Winter Sleep,tt2758880
Platoon,tt0091763
Cool Hand Luke,tt0061512
The Battle of Algiers,tt0058946
12 Years a Slave,tt2024544
The Grapes of Wrath,tt0032551
Three Colors: Red,tt0111495
Fanny and Alexander,tt0083922
Kill Bill: Vol. 1,tt0266697
"Black Cat, White Cat",tt0118843
Into the Wild,tt0758758
Mr. Smith Goes to Washington,tt0031679
Before Sunrise,tt0112471
Paper Moon,tt0070510
Logan,tt3315342
The Princess Bride,tt0093779
Wild Tales,tt3011894
Life of Brian,tt0079470
Ford v Ferrari,tt1950186
Harry Potter and the Deathly Hallows: Part 2,tt1201607
In the Mood for Love,tt0118694
The Wages of Fear,tt0046268
Fargo,tt0116282
Barry Lyndon,tt0072684
The Best Years of Our Lives,tt0036868
Spotlight,tt1895587
Gone with the Wind,tt0031381
Rififi,tt0048021
The Third Man,tt0041959
Prisoners,tt1392214
Rocky,tt0075148
Dune,tt1160419
Rush,tt1979320
"Paris, Texas",tt0087884
The Elephant Man,tt0080678
Memories of Murder,tt0353969
The Celebration,tt0154420
The Deer Hunter,tt0077416
Million Dollar Baby,tt0405159
Rebecca,tt0032976
Nausicaä of the Valley of the Wind,tt0087544
Room,tt3170832
Persona,tt0060827
Finding Nemo,tt0266543
Ben-Hur,tt0052618
The Truman Show,tt0120382
Before Sunset,tt0381681
Mad Max: Fury Road,tt1392190
Inside Out,tt2096673
The Man Who Shot Liberty Valance,tt0056217
Hacksaw Ridge,tt2119532
The Big Lebowski,tt0118715
Warrior,tt1291584
Inherit the Wind,tt0053946
Catch Me If You Can,tt0264464
Stand by Me,tt0092005
How to Train Your Dragon,tt0892769
Dead Poets Society,tt0097165
"Monsters, Inc.",tt0198781
Hotel Rwanda,tt0395169
Gone Girl,tt2267998
Underground,tt0114787
Amores perros,tt0245712
Trainspotting,tt0117951
Soul,tt2948372
Network,tt0074958
Farewell My Concubine,tt0106332
It Happened One Night,tt0025316
The Bridge on the River Kwai,tt0050212
All Quiet on the Western Front,tt0020629
No Country for Old Men,tt0477348
On the Waterfront,tt0047296
Portrait of a Lady on Fire,tt8613070
Life Is Beautiful,tt0118799
Spirited Away,tt0245429
Parasite,tt6751668
Se7en,tt0114369
Hara-Kiri,tt0056058
The Silence of the Lambs,tt0102926
It's a Wonderful Life,tt0038650
The Green Mile,tt0120689
Interstellar,tt0816692
Star Wars: Episode IV - A New Hope,tt0076759
Seven Samurai,tt0047478
City of God,tt0317248
Saving Private Ryan,tt0120815
Cheech and Chong's Next Movie,tt0080520
Courage Under Fire,tt0115956
Some Kind of Wonderful,tt0094006
Mallrats,tt0113749
Priest,tt0110889
Highlander,tt0091203
There's Something About Mary,tt0129387
Three Kings,tt0120188
Exotica,tt0109759
Shakespeare in Love,tt0138097
The Big Blue,tt0095250
The Red Violin,tt0120802
The Hunt for Red October,tt0099810
Beautiful Thing,tt0115640
Sleepers,tt0117665
Dead Man,tt0112817
Sabrina,tt0047437
Breakfast at Tiffany's,tt0054698
500 Days of Summer,tt1022603
When Harry Met Sally...,tt0098635
True Grit,tt1403865
Minority Report,tt0181689
Forbidden Planet,tt0049223
Withnail & I,tt0094336
Y tu mamá también,tt0245574
Three Colors: White,tt0111507
The Producers,tt0063462
The Jungle Book,tt0061852
Apollo 13,tt0112384
The Station Agent,tt0340377
From Here to Eternity,tt0045793
The 39 Steps,tt0026029
Little Big Man,tt0065988
Delicatessen,tt0101700
Moulin Rouge!,tt0203009
Kick-Ass,tt1250777
21 Grams,tt0315733
Dangerous Liaisons,tt0094947
The Others,tt0230600
Dazed and Confused,tt0106677
My Life as a Dog,tt0089606
Creed,tt3076658
Traffic,tt0181865
United 93,tt0475276
Close Encounters of the Third Kind,tt0075860
Finding Neverland,tt0308644
Star Trek: First Contact,tt0117731
The Crow,tt0109506
Blood Simple,tt0086979
Snow White and the Seven Dwarfs,tt0029583
Sholay,tt0073707
The Bandit,tt0116231
Autumn Sonata,tt0077711
Judgment at Nuremberg,tt0055031
Udaan,tt1639426
Hera Pheri,tt0242519
Drishyam (2015),tt4430212
The Message,tt0074896
Swades,tt0367110
Sherlock Jr.,tt0015324
Andhadhun,tt8108198
My Father and My Son,tt0476735
Tokyo Story,tt0046438
Snatch,tt0208092
The Gold Rush,tt0015864
Anand,tt0066763
Chak De! India,tt0871510
Die Hard,tt0095016
A Beautiful Mind,tt0268978
Heat,tt0113277
Howl's Moving Castle,tt0347149
The Secret in Their Eyes,tt1305806
To Kill a Mockingbird,tt0056592
The Seventh Seal,tt0050976
Up,tt1049413
Wild Strawberries,tt0050986
Toy Story 3,tt0435761
Umberto D.,tt0045274
Chinatown,tt0071315
Ran,tt0089881
Klaus,tt4729430
Indiana Jones and the Last Crusade,tt0097576
Green Book,tt6966692
Tangerines,tt2991224
Casino,tt0112641
Unforgiven,tt0105695
Raging Bull,tt0081398
Gangs of Wasseypur,tt1954470
Yojimbo,tt0055630
There Will Be Blood,tt0469494
Shutter Island,tt1130884
"Lock, Stock and Two Smoking Barrels",tt0120735
Batman Begins,tt0372784
For a Few Dollars More,tt0059578
A Silent Voice: The Movie,tt5323662
Downfall,tt0363163
Z,tt0065234
To Be or Not to Be,tt0035446
The Great Escape,tt0057115
My Neighbor Totoro,tt0096283
L.A. Confidential,tt0119488
Taxi Driver,tt0075314
Pan's Labyrinth,tt0457430
Some Like It Hot,tt0053291
Rashomon,tt0042876
All About Eve,tt0042192
The Treasure of the Sierra Madre,tt0040897
The Wolf of Wall Street,tt0993846
Dial M for Murder,tt0046912
Monty Python and the Holy Grail,tt0071853
Sardar Udham,tt10280296
One Flew Over the Cuckoo's Nest,tt0073486
The Matrix,tt0133093
